site_id,study_id,latitude,longitude,crop,management,ab_wildbees,ab_bombus,total_sampled_time,sampling_year,sampling_abundance,log_visit_rate,log_vr_small,log_vr_large
T&P3,Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,38.8973999,-122.0648183,Prunus dulcis,,5.0,0.0,13.3333333333333,2009,focal observations,-0.9808292530117237,-0.7985076962177691,-2.590267165445824
Taber,Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,38.6997295,-122.1089041,Prunus dulcis,,8.0,1.0,13.3333333333333,2009,focal observations,-0.3930425881096047,-0.3930425881096047,-1.8971199848858789
Tim Mueller 1,Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,38.7796138,-122.168718,Prunus dulcis,,12.0,3.0,13.3333333333333,2009,focal observations,0.11778303565638602,-0.025317807984287392,-1.2039728043259335
Tim Mueller 2,Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,38.8082465,-122.1822281,Prunus dulcis,,4.0,0.0,13.3333333333333,2009,focal observations,-1.2039728043259335,-0.9808292530117237,-2.590267165445824
COF2,Alice_Classen_Coffea_arabica_Tanzania_2011_2012,-3.232177212,37.268548,Coffea arabica,conventional,4.0,0.0,170.0,2011-2012,focal observations,-3.7495040759303713,-3.5263605246161616,-5.135798437050262
COF3,Alice_Classen_Coffea_arabica_Tanzania_2011_2012,-3.247466484,37.32059835,Coffea arabica,conventional,5.0,0.0,170.0,2011-2012,focal observations,-3.5263605246161616,-3.3440389678222067,-5.135798437050262
COF5,Alice_Classen_Coffea_arabica_Tanzania_2011_2012,-3.274800858,37.47067258,Coffea arabica,conventional,1.0,0.0,170.0,2011-2012,focal observations,-5.135798437050262,-4.442651256490317,-5.135798437050262
HOM1,Alice_Classen_Coffea_arabica_Tanzania_2011_2012,-3.185998687,37.25462826,Coffea arabica,organic,6.0,0.0,170.0,2011-2012,focal observations,-3.3440389678222067,-3.1898882879949486,-5.135798437050262
HOM2,Alice_Classen_Coffea_arabica_Tanzania_2011_2012,-3.269033234,37.3091989,Coffea arabica,organic,11.0,0.0,170.0,2011-2012,focal observations,-2.737903164251891,-2.6508917872622613,-5.135798437050262
HOM4,Alice_Classen_Coffea_arabica_Tanzania_2011_2012,-3.33711016,37.49247115,Coffea arabica,organic,45.0,0.0,170.0,2011-2012,focal observations,-1.329135947279942,-1.3071570405611668,-5.135798437050262
SUN1,Alice_Classen_Coffea_arabica_Tanzania_2011_2012,-3.27816463,37.19449647,Coffea arabica,conventional,1.0,0.0,170.0,2011-2012,focal observations,-5.135798437050262,-4.442651256490317,-5.135798437050262
SUN2,Alice_Classen_Coffea_arabica_Tanzania_2011_2012,-3.235175792,37.27169284,Coffea arabica,conventional,2.0,0.0,170.0,2011-2012,focal observations,-4.442651256490317,-4.037186148382152,-5.135798437050262
SUN4,Alice_Classen_Coffea_arabica_Tanzania_2011_2012,-3.275414554,37.32344919,Coffea arabica,conventional,3.0,0.0,170.0,2011-2012,focal observations,-4.037186148382152,-3.7495040759303713,-5.135798437050262
CanBeia,Amparo_Lazaro_Prunus_dulcis_Spain_2015,39.6778333333333,2.56405555555555,Prunus dulcis,,11.0,218.0,130.0,2015,focal observations,0.5661875530986572,-2.382627800667582,0.5215372793609184
Cooperativa,Amparo_Lazaro_Prunus_dulcis_Spain_2015,39.6903611111111,2.86172222222222,Prunus dulcis,,0.0,9.0,150.0,2015,focal observations,-2.8134107167600364,-5.0106352940962555,-2.70805020110221
EsRafal,Amparo_Lazaro_Prunus_dulcis_Spain_2015,39.64775,2.76172222222222,Prunus dulcis,,2.0,0.0,285.0,2015,focal observations,-4.959341999708705,-4.553876891600541,-5.652489180268651
FestivalPark,Amparo_Lazaro_Prunus_dulcis_Spain_2015,39.6452222222222,2.74675,Prunus dulcis,,2.0,0.0,260.0,2015,focal observations,-4.867534450455582,-4.462069342347418,-5.560681631015528
SaCanova,Amparo_Lazaro_Prunus_dulcis_Spain_2015,39.74625,3.01677777777777,Prunus dulcis,,17.0,5.0,250.0,2015,focal observations,-2.430418464503931,-2.631089159966082,-3.7297014486341915
SaFillola,Amparo_Lazaro_Prunus_dulcis_Spain_2015,39.7063055555555,3.08586111111111,Prunus dulcis,,21.0,1.0,300.0,2015,focal observations,-2.6127400212978853,-2.6127400212978853,-5.0106352940962555
SaMarineta,Amparo_Lazaro_Prunus_dulcis_Spain_2015,39.5815833333333,3.34894444444444,Prunus dulcis,,0.0,2.0,65.0,2015,focal observations,-3.481240089335692,-4.174387269895637,-3.0757749812275272
SesCabanasses,Amparo_Lazaro_Prunus_dulcis_Spain_2015,39.6796666666666,3.22822222222222,Prunus dulcis,,20.0,13.0,215.0,2015,focal observations,-1.8741304666611824,-2.32611559040424,-2.731580698512404
Shospitalet,Amparo_Lazaro_Prunus_dulcis_Spain_2015,39.4909444444444,3.25575,Prunus dulcis,,83.0,2.0,295.0,2015,focal observations,-1.2443240998495033,-1.2561585574965062,-4.58836306767171
Sindioteria,Amparo_Lazaro_Prunus_dulcis_Spain_2015,39.6169166666666,2.67766666666666,Prunus dulcis,,6.0,14.0,285.0,2015,focal observations,-2.6567569067146595,-3.7065790312133373,-2.9444389791664407
SonBlai,Amparo_Lazaro_Prunus_dulcis_Spain_2015,39.6229722222222,2.64733333333333,Prunus dulcis,,1.0,14.0,210.0,2015,focal observations,-2.639057329615259,-4.653960350157523,-2.639057329615259
SonCos,Amparo_Lazaro_Prunus_dulcis_Spain_2015,39.6314444444444,2.74722222222222,Prunus dulcis,,5.0,0.0,390.0,2015,focal observations,-4.356708826689592,-4.174387269895637,-5.966146739123692
SonMarrano,Amparo_Lazaro_Prunus_dulcis_Spain_2015,39.4338333333333,2.94677777777777,Prunus dulcis,,36.0,5.0,300.0,2015,focal observations,-1.9902104079518934,-2.0928645620119766,-3.912023005428146
SonPinya,Amparo_Lazaro_Prunus_dulcis_Spain_2015,39.4508611111111,3.09455555555555,Prunus dulcis,,21.0,1.0,185.0,2015,focal observations,-2.129313371720009,-2.129313371720009,-4.527208644518379
SonPou,Amparo_Lazaro_Prunus_dulcis_Spain_2015,39.6161388888888,2.64680555555555,Prunus dulcis,,1.0,15.0,240.0,2015,focal observations,-2.70805020110221,-4.787491742782046,-2.70805020110221
SonPujol,Amparo_Lazaro_Prunus_dulcis_Spain_2015,39.7208055555555,2.88797222222222,Prunus dulcis,,5.0,0.0,335.0,2015,focal observations,-4.204692619390966,-4.022371062597012,-5.814130531825066
SonVives,Amparo_Lazaro_Prunus_dulcis_Spain_2015,39.6190277777777,3.31272222222222,Prunus dulcis,,9.0,2.0,270.0,2015,focal observations,-3.200526686200004,-3.295836866004329,-4.499809670330265
Xorrigo,Amparo_Lazaro_Prunus_dulcis_Spain_2015,39.5814722222222,2.80502777777777,Prunus dulcis,,0.0,5.0,300.0,2015,focal observations,-4.0943445622221,-5.703782474656201,-3.912023005428146
CanBeia,Amparo_Lazaro_Prunus_dulcis_Spain_2016,39.6778333333333,2.56405555555555,Prunus dulcis,,1.0,328.0,145.0,2016,focal observations,0.8193240083447975,-4.283586561860629,0.8193240083447975
Cooperativa,Amparo_Lazaro_Prunus_dulcis_Spain_2016,39.6903611111111,2.86172222222222,Prunus dulcis,,12.0,0.0,235.0,2016,focal observations,-2.9746788643561586,-2.894636156682622,-5.459585514144159
EsRafal,Amparo_Lazaro_Prunus_dulcis_Spain_2016,39.64775,2.76172222222222,Prunus dulcis,,1.0,0.0,255.0,2016,focal observations,-5.541263545158426,-4.848116364598481,-5.541263545158426
FestivalPark,Amparo_Lazaro_Prunus_dulcis_Spain_2016,39.6452222222222,2.74675,Prunus dulcis,,43.0,0.0,180.0,2016,focal observations,-1.4317567351966478,-1.4087672169719492,-5.19295685089021
SaCanova,Amparo_Lazaro_Prunus_dulcis_Spain_2016,39.74625,3.01677777777777,Prunus dulcis,,18.0,0.0,295.0,2016,focal observations,-2.7966035984436552,-2.7425363771733795,-5.68697535633982
SaFillola,Amparo_Lazaro_Prunus_dulcis_Spain_2016,39.7063055555555,3.08586111111111,Prunus dulcis,,127.0,0.0,285.0,2016,focal observations,-0.8083020938100592,-0.8004589163490333,-5.652489180268651
SesCabanasses,Amparo_Lazaro_Prunus_dulcis_Spain_2016,39.6796666666666,3.22822222222222,Prunus dulcis,,25.0,14.0,300.0,2016,focal observations,-2.0402208285265546,-2.445685936634719,-2.995732273553991
Shospitalet,Amparo_Lazaro_Prunus_dulcis_Spain_2016,39.4909444444444,3.25575,Prunus dulcis,,1.0,0.0,240.0,2016,focal observations,-5.480638923341991,-4.787491742782046,-5.480638923341991
Sindioteria,Amparo_Lazaro_Prunus_dulcis_Spain_2016,39.6169166666666,2.67766666666666,Prunus dulcis,,39.0,0.0,195.0,2016,focal observations,-1.6094379124341003,-1.5841201044498106,-5.272999558563747
SonCos,Amparo_Lazaro_Prunus_dulcis_Spain_2016,39.6314444444444,2.74722222222222,Prunus dulcis,,32.0,2.0,225.0,2016,focal observations,-1.8897398775882588,-1.91959284073794,-4.31748811353631
SonMarrano,Amparo_Lazaro_Prunus_dulcis_Spain_2016,39.4338333333333,2.94677777777777,Prunus dulcis,,17.0,0.0,280.0,2016,focal observations,-2.8015762591130335,-2.744417845273085,-5.634789603169249
SonPinya,Amparo_Lazaro_Prunus_dulcis_Spain_2016,39.4508611111111,3.09455555555555,Prunus dulcis,,90.0,0.0,170.0,2016,focal observations,-0.6359887667199967,-0.6249389305334118,-5.135798437050262
SonPou,Amparo_Lazaro_Prunus_dulcis_Spain_2016,39.6161388888888,2.64680555555555,Prunus dulcis,,0.0,5.0,130.0,2016,focal observations,-3.258096538021482,-4.867534450455582,-3.0757749812275272
SonPujol,Amparo_Lazaro_Prunus_dulcis_Spain_2016,39.7208055555555,2.88797222222222,Prunus dulcis,,0.0,1.0,245.0,2016,focal observations,-5.5012582105447265,-5.5012582105447265,-4.808111029984782
SonVives,Amparo_Lazaro_Prunus_dulcis_Spain_2016,39.6190277777777,3.31272222222222,Prunus dulcis,,2.0,18.0,215.0,2016,focal observations,-2.374905754573672,-4.272025739459553,-2.426199048961222
Xorrigo,Amparo_Lazaro_Prunus_dulcis_Spain_2016,39.5814722222222,2.80502777777777,Prunus dulcis,,29.0,0.0,280.0,2016,focal observations,-2.2674937731827756,-2.2335922215070942,-5.634789603169249
L 1 Snitowski,Betina_Blochtein_Brassica_napus_Brazil_2011,-28.1429691314697,-54.3186988830566,Brassica napus,conventional,5.0,0.0,270.0,2011,sweep net,-3.9889840465642745,-3.8066624897703196,-5.598421958998375
L2 Snitowski,Betina_Blochtein_Brassica_napus_Brazil_2011,-28.1548595428467,-54.3274116516113,Brassica napus,conventional,11.0,0.0,270.0,2011,sweep net,-3.200526686200004,-3.1135153092103742,-5.598421958998375
L3 Karlec,Betina_Blochtein_Brassica_napus_Brazil_2011,-28.1376895904541,-54.3471794128418,Brassica napus,conventional,11.0,1.0,270.0,2011,sweep net,-3.1135153092103742,-3.1135153092103742,-4.90527477843843
L4 Rupp,Betina_Blochtein_Brassica_napus_Brazil_2011,-28.0762805938721,-54.3076782226562,Brassica napus,conventional,27.0,0.0,270.0,2011,sweep net,-2.3025850929940455,-2.2662174488231708,-5.598421958998375
L5 Sr. Rupp,Betina_Blochtein_Brassica_napus_Brazil_2011,-28.0795192718506,-54.3138008117676,Brassica napus,conventional,3.0,0.0,270.0,2011,sweep net,-4.499809670330265,-4.212127597878484,-5.598421958998375
L 6 Sr. Donadel,Betina_Blochtein_Brassica_napus_Brazil_2011,-28.1334209442139,-54.3103218078613,Brassica napus,conventional,6.0,0.0,270.0,2011,sweep net,-3.8066624897703196,-3.6525118099430616,-5.598421958998375
mango2,Bryony_Willcox_Mangifera_indica_Australia_2016,-16.98266111,145.4638417,Mangifera indica,conventional,7.0,0.0,180.0,2016,focal observations,-3.247046701834897,-3.1135153092103742,-5.19295685089021
mango3,Bryony_Willcox_Mangifera_indica_Australia_2016,-16.9115,145.4241472,Mangifera indica,conventional,4.0,0.0,220.0,2016,focal observations,-4.007333185232471,-3.784189633918261,-5.393627546352362
mango4,Bryony_Willcox_Mangifera_indica_Australia_2016,-16.90098333,145.4300806,Mangifera indica,conventional,64.0,0.0,200.0,2016,focal observations,-1.1394342831883648,-1.1239300966523995,-5.298317366548036
mango5,Bryony_Willcox_Mangifera_indica_Australia_2016,-17.01975278,145.3408472,Mangifera indica,conventional,51.0,0.0,160.0,2016,focal observations,-1.1433481825095013,-1.1239300966523995,-5.075173815233827
mango6,Bryony_Willcox_Mangifera_indica_Australia_2016,-16.99886667,145.3672361,Mangifera indica,conventional,2.0,0.0,360.0,2016,focal observations,-5.19295685089021,-4.787491742782046,-5.886104031450156
mango7,Bryony_Willcox_Mangifera_indica_Australia_2016,-17.19234444,145.4690472,Mangifera indica,conventional,1.0,0.0,180.0,2016,focal observations,-5.19295685089021,-4.499809670330265,-5.19295685089021
mango8,Bryony_Willcox_Mangifera_indica_Australia_2016,-17.01152778,145.453925,Mangifera indica,conventional,138.0,0.0,240.0,2016,focal observations,-0.5533852381847867,-0.5461649902112995,-5.480638923341991
mango9,Bryony_Willcox_Mangifera_indica_Australia_2016,-17.033075,145.2985306,Mangifera indica,conventional,289.0,0.0,220.0,2016,focal observations,0.2727991417600707,0.27625337662815813,-5.393627546352362
mango10,Bryony_Willcox_Mangifera_indica_Australia_2016,-16.99231389,145.3496889,Mangifera indica,conventional,9.0,0.0,240.0,2016,focal observations,-3.283414346005772,-3.1780538303479458,-5.480638923341991
avo_1,Bryony_Willcox_Persea_americana_Australia_2015,-25.1581,152.351,Persea americana,conventional,2.0,0.0,180.0,2015,transects,-4.499809670330265,-4.0943445622221,-5.19295685089021
avo_3,Bryony_Willcox_Persea_americana_Australia_2015,-25.1294,152.38,Persea americana,conventional,2.0,0.0,120.0,2015,transects,-4.0943445622221,-3.6888794541139363,-4.787491742782046
avo_5,Bryony_Willcox_Persea_americana_Australia_2015,-25.1231,152.123,Persea americana,conventional,15.0,0.0,120.0,2015,transects,-2.0794415416798357,-2.0149030205422647,-4.787491742782046
avo_6,Bryony_Willcox_Persea_americana_Australia_2015,-25.114,152.152,Persea americana,conventional,60.0,0.0,120.0,2015,transects,-0.6931471805599453,-0.6766178786087348,-4.787491742782046
avo_9,Bryony_Willcox_Persea_americana_Australia_2015,-34.1422,140.702,Persea americana,conventional,1.0,0.0,120.0,2015,transects,-4.787491742782046,-4.0943445622221,-4.787491742782046
avo_1,Bryony_Willcox_Persea_americana_Australia_2016,-25.1581,152.351,Persea americana,conventional,11.0,0.0,140.0,2016,transects,-2.5437471498109336,-2.456735772821304,-4.941642422609305
avo_2,Bryony_Willcox_Persea_americana_Australia_2016,-25.1411,152.362,Persea americana,conventional,90.0,0.0,160.0,2016,transects,-0.5753641449035618,-0.564314308716977,-5.075173815233827
avo_3,Bryony_Willcox_Persea_americana_Australia_2016,-25.1294,152.38,Persea americana,conventional,2.0,0.0,160.0,2016,transects,-4.382026634673881,-3.9765615265657175,-5.075173815233827
avo_5,Bryony_Willcox_Persea_americana_Australia_2016,-25.1231,152.123,Persea americana,conventional,3.0,0.0,80.0,2016,transects,-3.283414346005772,-2.995732273553991,-4.382026634673881
avo_6,Bryony_Willcox_Persea_americana_Australia_2016,-25.114,152.152,Persea americana,conventional,310.0,0.0,160.0,2016,transects,0.661398482245365,0.6646190969454072,-5.075173815233827
man_1,Bryony_Willcox_Mangifera_indica_Australia_2016_2,-25.1443,152.377,Mangifera indica,conventional,14.0,0.0,140.0,2016,transects,-2.3025850929940455,-2.2335922215070942,-4.941642422609305
man_2,Bryony_Willcox_Mangifera_indica_Australia_2016_2,-25.1372,152.372,Mangifera indica,conventional,24.0,0.0,160.0,2016,transects,-1.8971199848858813,-1.8562979903656263,-5.075173815233827
avo_1,Bryony_Willcox_Persea_americana_Australia_2017,-25.1581,152.351,Persea americana,conventional,7.0,0.0,180.0,2017,transects,-3.247046701834897,-3.1135153092103742,-5.19295685089021
avo_2,Bryony_Willcox_Persea_americana_Australia_2017,-25.1411,152.362,Persea americana,conventional,51.0,0.0,180.0,2017,transects,-1.2611312181658847,-1.241713132308783,-5.19295685089021
avo_3,Bryony_Willcox_Persea_americana_Australia_2017,-25.1294,152.38,Persea americana,conventional,4.0,0.0,200.0,2017,transects,-3.912023005428146,-3.6888794541139363,-5.298317366548036
avo_5,Bryony_Willcox_Persea_americana_Australia_2017,-25.1231,152.123,Persea americana,conventional,106.0,0.0,160.0,2017,transects,-0.4117347211217598,-0.4023449807719208,-5.075173815233827
avo_6,Bryony_Willcox_Persea_americana_Australia_2017,-25.114,152.152,Persea americana,conventional,79.0,0.0,120.0,2017,transects,-0.41804389031502454,-0.40546510810816444,-4.787491742782046
man_1,Bryony_Willcox_Mangifera_indica_Australia_2017,-25.1443,152.377,Mangifera indica,conventional,4.0,0.0,160.0,2017,transects,-3.6888794541139363,-3.4657359027997265,-5.075173815233827
man_2,Bryony_Willcox_Mangifera_indica_Australia_2017,-25.1372,152.372,Mangifera indica,conventional,11.0,0.0,320.0,2017,transects,-3.3704257229954018,-3.283414346005772,-5.768320995793772
MIR1,Carlos_H_Vergara_Coffea_arabica_Mexico_2004,19.2110667,-96.8997333,Coffea arabica,organic,15.0,0.0,100.0,2004,focal observations,-1.8971199848858813,-1.8325814637483102,-4.605170185988091
MIR2,Carlos_H_Vergara_Coffea_arabica_Mexico_2004,19.2135333,-96.8995167,Coffea arabica,organic,10.0,0.0,100.0,2004,focal observations,-2.3025850929940455,-2.2072749131897207,-4.605170185988091
MIR3,Carlos_H_Vergara_Coffea_arabica_Mexico_2004,19.2098833,-96.8965,Coffea arabica,organic,12.0,0.0,100.0,2004,focal observations,-2.120263536200091,-2.0402208285265546,-4.605170185988091
MIR4,Carlos_H_Vergara_Coffea_arabica_Mexico_2004,19.2101167,-96.8876667,Coffea arabica,organic,8.0,0.0,100.0,2004,focal observations,-2.5257286443082556,-2.4079456086518722,-4.605170185988091
ORD1,Carlos_H_Vergara_Coffea_arabica_Mexico_2004,19.2055833,-96.8977333,Coffea arabica,conventional,1.0,0.0,100.0,2004,focal observations,-4.605170185988091,-3.912023005428146,-4.605170185988091
ORD2,Carlos_H_Vergara_Coffea_arabica_Mexico_2004,19.20565,-96.89855,Coffea arabica,conventional,3.0,0.0,100.0,2004,focal observations,-3.506557897319982,-3.2188758248682006,-4.605170185988091
ORD3,Carlos_H_Vergara_Coffea_arabica_Mexico_2004,19.2070167,-96.8843,Coffea arabica,conventional,2.0,0.0,100.0,2004,focal observations,-3.912023005428146,-3.506557897319982,-4.605170185988091
ORD4,Carlos_H_Vergara_Coffea_arabica_Mexico_2004,19.2063,-96.8850667,Coffea arabica,conventional,13.0,0.0,100.0,2004,focal observations,-2.0402208285265546,-1.9661128563728327,-4.605170185988091
VSE1,Carlos_H_Vergara_Coffea_arabica_Mexico_2004,19.4726667,-96.9256333,Coffea arabica,conventional,3.0,0.0,100.0,2004,focal observations,-3.506557897319982,-3.2188758248682006,-4.605170185988091
VSE2,Carlos_H_Vergara_Coffea_arabica_Mexico_2004,19.4724667,-96.9286167,Coffea arabica,conventional,1.0,0.0,100.0,2004,focal observations,-4.605170185988091,-3.912023005428146,-4.605170185988091
VSE3,Carlos_H_Vergara_Coffea_arabica_Mexico_2004,19.4715833,-96.92925,Coffea arabica,conventional,1.0,0.0,100.0,2004,focal observations,-4.605170185988091,-3.912023005428146,-4.605170185988091
VSE4,Carlos_H_Vergara_Coffea_arabica_Mexico_2004,19.4649667,-96.9343,Coffea arabica,conventional,1.0,0.0,100.0,2004,focal observations,-4.605170185988091,-3.912023005428146,-4.605170185988091
Nich_VTblu_Site_01,Charlie_Nicholson_Vaccinium_corymbosum_USA_2014,44.299605,-73.187766,Vaccinium corymbosum,organic,22.0,25.0,160.0,2014,sweep net,-1.2250262135237684,-1.9396795993046774,-1.817077277212345
Nich_VTblu_Site_01,Charlie_Nicholson_Vaccinium_corymbosum_USA_2015,44.299605,-73.187766,Vaccinium corymbosum,organic,15.0,10.0,100.0,2015,sweep net,-1.3862943611198906,-1.8325814637483102,-2.2072749131897207
Nich_VTblu_Site_02,Charlie_Nicholson_Vaccinium_corymbosum_USA_2014,44.4010957014,-73.0691734064,Vaccinium corymbosum,organic,15.0,28.0,140.0,2014,sweep net,-1.180442306915742,-2.169053700369523,-1.5743465926228302
Nich_VTblu_Site_02,Charlie_Nicholson_Vaccinium_corymbosum_USA_2015,44.4010957014,-73.0691734064,Vaccinium corymbosum,organic,8.0,29.0,80.0,2015,sweep net,-0.7711087220296571,-2.184802057337662,-0.9808292530117262
Nich_VTblu_Site_02,Charlie_Nicholson_Vaccinium_corymbosum_USA_2013,44.4010957014,-73.0691734064,Vaccinium corymbosum,organic,6.0,11.0,60.0,2013,sweep net,-1.2611312181658847,-2.1484344131667874,-1.6094379124341003
Nich_VTblu_Site_03,Charlie_Nicholson_Vaccinium_corymbosum_USA_2014,44.5161895867,-72.9278982195,Vaccinium corymbosum,organic,32.0,16.0,140.0,2014,sweep net,-1.0704414117014134,-1.445134861142824,-2.108429078553088
Nich_VTblu_Site_03,Charlie_Nicholson_Vaccinium_corymbosum_USA_2015,44.5161895867,-72.9278982195,Vaccinium corymbosum,organic,19.0,7.0,80.0,2015,sweep net,-1.1239300966523995,-1.3862943611198906,-2.3025850929940455
Nich_VTblu_Site_03,Charlie_Nicholson_Vaccinium_corymbosum_USA_2013,44.5161895867,-72.9278982195,Vaccinium corymbosum,organic,11.0,25.0,80.0,2013,sweep net,-0.7985076962177716,-1.8971199848858813,-1.1239300966523995
Nich_VTblu_Site_04,Charlie_Nicholson_Vaccinium_corymbosum_USA_2014,44.28951,-73.243322,Vaccinium corymbosum,conventional,11.0,18.0,100.0,2014,sweep net,-1.2378743560016174,-2.120263536200091,-1.6607312068216509
Nich_VTblu_Site_04,Charlie_Nicholson_Vaccinium_corymbosum_USA_2015,44.28951,-73.243322,Vaccinium corymbosum,conventional,1.0,7.0,40.0,2015,sweep net,-1.6094379124341003,-2.995732273553991,-1.6094379124341003
Nich_VTblu_Site_05,Charlie_Nicholson_Vaccinium_corymbosum_USA_2015,44.214885,-72.793697,Vaccinium corymbosum,organic,8.0,19.0,80.0,2015,sweep net,-1.0861897686695525,-2.184802057337662,-1.3862943611198906
Nich_VTblu_Site_06,Charlie_Nicholson_Vaccinium_corymbosum_USA_2014,44.3917677495,-73.0959985426,Vaccinium corymbosum,organic,13.0,35.0,100.0,2014,sweep net,-0.7339691750802004,-1.9661128563728327,-1.0216512475319814
Nich_VTblu_Site_06,Charlie_Nicholson_Vaccinium_corymbosum_USA_2015,44.3917677495,-73.0959985426,Vaccinium corymbosum,organic,14.0,28.0,80.0,2015,sweep net,-0.6443570163905132,-1.6739764335716716,-1.0147308046874075
Nich_VTblu_Site_06,Charlie_Nicholson_Vaccinium_corymbosum_USA_2013,44.3917677495,-73.0959985426,Vaccinium corymbosum,organic,17.0,45.0,60.0,2013,sweep net,0.03278982282299097,-1.2039728043259361,-0.2657031657330056
Nich_VTblu_Site_07,Charlie_Nicholson_Vaccinium_corymbosum_USA_2014,44.1900231201,-72.8462866788,Vaccinium corymbosum,organic,61.0,51.0,160.0,2014,sweep net,-0.35667494393873245,-0.9480394301887354,-1.1239300966523995
Nich_VTblu_Site_07,Charlie_Nicholson_Vaccinium_corymbosum_USA_2015,44.1900231201,-72.8462866788,Vaccinium corymbosum,organic,32.0,29.0,100.0,2015,sweep net,-0.4942963218147801,-1.1086626245216111,-1.2039728043259361
Nich_VTblu_Site_07,Charlie_Nicholson_Vaccinium_corymbosum_USA_2013,44.1900231201,-72.8462866788,Vaccinium corymbosum,organic,20.0,36.0,80.0,2013,sweep net,-0.35667494393873245,-1.3375041969504586,-0.7711087220296571
Nich_VTblu_Site_08,Charlie_Nicholson_Vaccinium_corymbosum_USA_2014,44.2645144479,-73.1342006234,Vaccinium corymbosum,conventional,36.0,27.0,160.0,2014,sweep net,-0.9320390888422942,-1.4642559025896025,-1.742969305058623
Nich_VTblu_Site_08,Charlie_Nicholson_Vaccinium_corymbosum_USA_2015,44.2645144479,-73.1342006234,Vaccinium corymbosum,conventional,27.0,24.0,80.0,2015,sweep net,-0.4502010019495559,-1.0498221244986778,-1.1631508098056809
Nich_VTblu_Site_08,Charlie_Nicholson_Vaccinium_corymbosum_USA_2013,44.2645144479,-73.1342006234,Vaccinium corymbosum,conventional,27.0,42.0,60.0,2013,sweep net,0.13976194237515863,-0.7621400520468967,-0.33314444652853825
Nich_VTblu_Site_09,Charlie_Nicholson_Vaccinium_corymbosum_USA_2014,44.1007070105,-73.0757323969,Vaccinium corymbosum,organic,36.0,20.0,120.0,2014,sweep net,-0.7621400520468967,-1.1765738301378215,-1.742969305058623
Nich_VTblu_Site_09,Charlie_Nicholson_Vaccinium_corymbosum_USA_2015,44.1007070105,-73.0757323969,Vaccinium corymbosum,organic,22.0,21.0,120.0,2015,sweep net,-1.0262916270884836,-1.6519975268528961,-1.6964492894237302
Nich_VTblu_Site_09,Charlie_Nicholson_Vaccinium_corymbosum_USA_2013,44.1007070105,-73.0757323969,Vaccinium corymbosum,organic,12.0,16.0,60.0,2013,sweep net,-0.7621400520468967,-1.529395204760564,-1.2611312181658847
