site_id,study_id,latitude,longitude,crop,management,ab_wildbees,ab_bombus,total_sampled_time,sampling_year,sampling_abundance
Las Acacias,Agustin_Saez_Rubus_idaeus_Argentina_2014,-42.088268,-71.485892,Rubus idaeus,organic,0.0,37.0,,2014,sweep net
Angel,Alejandro_Trillo_Fragaria_ananassa_Spain_2016,37.194164276123,-6.8266658782959,Fragaria x ananassa,conventional,0.0,12.0,240.0,2016,transects
Francisco1,Alejandro_Trillo_Fragaria_ananassa_Spain_2016,37.2452774047852,-6.59694385528564,Fragaria x ananassa,conventional,2.0,0.0,240.0,2016,transects
Francisco2,Alejandro_Trillo_Fragaria_ananassa_Spain_2016,37.2797203063965,-6.59972190856934,Fragaria x ananassa,conventional,0.0,1.0,240.0,2016,transects
Juanantonio,Alejandro_Trillo_Fragaria_ananassa_Spain_2016,37.2613868713379,-6.7994441986084,Fragaria x ananassa,conventional,0.0,2.0,240.0,2016,transects
Maria,Alejandro_Trillo_Fragaria_ananassa_Spain_2016,37.085277557373,-6.55111122131348,Fragaria x ananassa,conventional,0.0,1.0,240.0,2016,transects
Mazagon1,Alejandro_Trillo_Fragaria_ananassa_Spain_2016,37.1719436645508,-6.85027694702148,Fragaria x ananassa,conventional,0.0,7.0,240.0,2016,transects
Bramlett,Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,38.8905338,-122.2290552,Prunus dulcis,,37.0,8.0,13.3333333333333,2009,focal observations
Etters,Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,38.7679852,-122.1633011,Prunus dulcis,,6.0,0.0,13.3333333333333,2009,focal observations
Full Belly,Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,38.8708174,-122.2289264,Prunus dulcis,,13.0,8.0,13.3333333333333,2009,focal observations
Laury,Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,38.9016493,-122.2408052,Prunus dulcis,,22.0,3.0,13.3333333333333,2009,focal observations
T&P3,Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,38.8973999,-122.0648183,Prunus dulcis,,5.0,0.0,13.3333333333333,2009,focal observations
Taber,Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,38.6997295,-122.1089041,Prunus dulcis,,8.0,1.0,13.3333333333333,2009,focal observations
Tim Mueller 1,Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,38.7796138,-122.168718,Prunus dulcis,,12.0,3.0,13.3333333333333,2009,focal observations
Tim Mueller 2,Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,38.8082465,-122.1822281,Prunus dulcis,,4.0,0.0,13.3333333333333,2009,focal observations
COF2,Alice_Classen_Coffea_arabica_Tanzania_2011_2012,-3.232177212,37.268548,Coffea arabica,conventional,4.0,0.0,170.0,2011-2012,focal observations
COF3,Alice_Classen_Coffea_arabica_Tanzania_2011_2012,-3.247466484,37.32059835,Coffea arabica,conventional,5.0,0.0,170.0,2011-2012,focal observations
COF5,Alice_Classen_Coffea_arabica_Tanzania_2011_2012,-3.274800858,37.47067258,Coffea arabica,conventional,1.0,0.0,170.0,2011-2012,focal observations
HOM1,Alice_Classen_Coffea_arabica_Tanzania_2011_2012,-3.185998687,37.25462826,Coffea arabica,organic,6.0,0.0,170.0,2011-2012,focal observations
HOM2,Alice_Classen_Coffea_arabica_Tanzania_2011_2012,-3.269033234,37.3091989,Coffea arabica,organic,11.0,0.0,170.0,2011-2012,focal observations
HOM4,Alice_Classen_Coffea_arabica_Tanzania_2011_2012,-3.33711016,37.49247115,Coffea arabica,organic,45.0,0.0,170.0,2011-2012,focal observations
SUN1,Alice_Classen_Coffea_arabica_Tanzania_2011_2012,-3.27816463,37.19449647,Coffea arabica,conventional,1.0,0.0,170.0,2011-2012,focal observations
SUN2,Alice_Classen_Coffea_arabica_Tanzania_2011_2012,-3.235175792,37.27169284,Coffea arabica,conventional,2.0,0.0,170.0,2011-2012,focal observations
SUN4,Alice_Classen_Coffea_arabica_Tanzania_2011_2012,-3.275414554,37.32344919,Coffea arabica,conventional,3.0,0.0,170.0,2011-2012,focal observations
CanBeia,Amparo_Lazaro_Prunus_dulcis_Spain_2015,39.6778333333333,2.56405555555555,Prunus dulcis,,11.0,218.0,130.0,2015,focal observations
Cooperativa,Amparo_Lazaro_Prunus_dulcis_Spain_2015,39.6903611111111,2.86172222222222,Prunus dulcis,,0.0,9.0,150.0,2015,focal observations
EsRafal,Amparo_Lazaro_Prunus_dulcis_Spain_2015,39.64775,2.76172222222222,Prunus dulcis,,2.0,0.0,285.0,2015,focal observations
FestivalPark,Amparo_Lazaro_Prunus_dulcis_Spain_2015,39.6452222222222,2.74675,Prunus dulcis,,2.0,0.0,260.0,2015,focal observations
SaCanova,Amparo_Lazaro_Prunus_dulcis_Spain_2015,39.74625,3.01677777777777,Prunus dulcis,,17.0,5.0,250.0,2015,focal observations
SaFillola,Amparo_Lazaro_Prunus_dulcis_Spain_2015,39.7063055555555,3.08586111111111,Prunus dulcis,,21.0,1.0,300.0,2015,focal observations
SaMarineta,Amparo_Lazaro_Prunus_dulcis_Spain_2015,39.5815833333333,3.34894444444444,Prunus dulcis,,0.0,2.0,65.0,2015,focal observations
SesCabanasses,Amparo_Lazaro_Prunus_dulcis_Spain_2015,39.6796666666666,3.22822222222222,Prunus dulcis,,20.0,13.0,215.0,2015,focal observations
Shospitalet,Amparo_Lazaro_Prunus_dulcis_Spain_2015,39.4909444444444,3.25575,Prunus dulcis,,83.0,2.0,295.0,2015,focal observations
Sindioteria,Amparo_Lazaro_Prunus_dulcis_Spain_2015,39.6169166666666,2.67766666666666,Prunus dulcis,,6.0,14.0,285.0,2015,focal observations
SonBlai,Amparo_Lazaro_Prunus_dulcis_Spain_2015,39.6229722222222,2.64733333333333,Prunus dulcis,,1.0,14.0,210.0,2015,focal observations
SonCos,Amparo_Lazaro_Prunus_dulcis_Spain_2015,39.6314444444444,2.74722222222222,Prunus dulcis,,5.0,0.0,390.0,2015,focal observations
SonMarrano,Amparo_Lazaro_Prunus_dulcis_Spain_2015,39.4338333333333,2.94677777777777,Prunus dulcis,,36.0,5.0,300.0,2015,focal observations
SonPinya,Amparo_Lazaro_Prunus_dulcis_Spain_2015,39.4508611111111,3.09455555555555,Prunus dulcis,,21.0,1.0,185.0,2015,focal observations
SonPou,Amparo_Lazaro_Prunus_dulcis_Spain_2015,39.6161388888888,2.64680555555555,Prunus dulcis,,1.0,15.0,240.0,2015,focal observations
SonPujol,Amparo_Lazaro_Prunus_dulcis_Spain_2015,39.7208055555555,2.88797222222222,Prunus dulcis,,5.0,0.0,335.0,2015,focal observations
SonVives,Amparo_Lazaro_Prunus_dulcis_Spain_2015,39.6190277777777,3.31272222222222,Prunus dulcis,,9.0,2.0,270.0,2015,focal observations
Xorrigo,Amparo_Lazaro_Prunus_dulcis_Spain_2015,39.5814722222222,2.80502777777777,Prunus dulcis,,0.0,5.0,300.0,2015,focal observations
CanBeia,Amparo_Lazaro_Prunus_dulcis_Spain_2016,39.6778333333333,2.56405555555555,Prunus dulcis,,1.0,328.0,145.0,2016,focal observations
Cooperativa,Amparo_Lazaro_Prunus_dulcis_Spain_2016,39.6903611111111,2.86172222222222,Prunus dulcis,,12.0,0.0,235.0,2016,focal observations
EsRafal,Amparo_Lazaro_Prunus_dulcis_Spain_2016,39.64775,2.76172222222222,Prunus dulcis,,1.0,0.0,255.0,2016,focal observations
FestivalPark,Amparo_Lazaro_Prunus_dulcis_Spain_2016,39.6452222222222,2.74675,Prunus dulcis,,43.0,0.0,180.0,2016,focal observations
SaCanova,Amparo_Lazaro_Prunus_dulcis_Spain_2016,39.74625,3.01677777777777,Prunus dulcis,,18.0,0.0,295.0,2016,focal observations
SaFillola,Amparo_Lazaro_Prunus_dulcis_Spain_2016,39.7063055555555,3.08586111111111,Prunus dulcis,,127.0,0.0,285.0,2016,focal observations
SesCabanasses,Amparo_Lazaro_Prunus_dulcis_Spain_2016,39.6796666666666,3.22822222222222,Prunus dulcis,,25.0,14.0,300.0,2016,focal observations
Shospitalet,Amparo_Lazaro_Prunus_dulcis_Spain_2016,39.4909444444444,3.25575,Prunus dulcis,,1.0,0.0,240.0,2016,focal observations
Sindioteria,Amparo_Lazaro_Prunus_dulcis_Spain_2016,39.6169166666666,2.67766666666666,Prunus dulcis,,39.0,0.0,195.0,2016,focal observations
SonCos,Amparo_Lazaro_Prunus_dulcis_Spain_2016,39.6314444444444,2.74722222222222,Prunus dulcis,,32.0,2.0,225.0,2016,focal observations
SonMarrano,Amparo_Lazaro_Prunus_dulcis_Spain_2016,39.4338333333333,2.94677777777777,Prunus dulcis,,17.0,0.0,280.0,2016,focal observations
SonPinya,Amparo_Lazaro_Prunus_dulcis_Spain_2016,39.4508611111111,3.09455555555555,Prunus dulcis,,90.0,0.0,170.0,2016,focal observations
SonPou,Amparo_Lazaro_Prunus_dulcis_Spain_2016,39.6161388888888,2.64680555555555,Prunus dulcis,,0.0,5.0,130.0,2016,focal observations
SonPujol,Amparo_Lazaro_Prunus_dulcis_Spain_2016,39.7208055555555,2.88797222222222,Prunus dulcis,,0.0,1.0,245.0,2016,focal observations
SonVives,Amparo_Lazaro_Prunus_dulcis_Spain_2016,39.6190277777777,3.31272222222222,Prunus dulcis,,2.0,18.0,215.0,2016,focal observations
Xorrigo,Amparo_Lazaro_Prunus_dulcis_Spain_2016,39.5814722222222,2.80502777777777,Prunus dulcis,,29.0,0.0,280.0,2016,focal observations
L 1 Snitowski,Betina_Blochtein_Brassica_napus_Brazil_2011,-28.1429691314697,-54.3186988830566,Brassica napus,conventional,5.0,0.0,270.0,2011,sweep net
L2 Snitowski,Betina_Blochtein_Brassica_napus_Brazil_2011,-28.1548595428467,-54.3274116516113,Brassica napus,conventional,11.0,0.0,270.0,2011,sweep net
L3 Karlec,Betina_Blochtein_Brassica_napus_Brazil_2011,-28.1376895904541,-54.3471794128418,Brassica napus,conventional,11.0,1.0,270.0,2011,sweep net
L4 Rupp,Betina_Blochtein_Brassica_napus_Brazil_2011,-28.0762805938721,-54.3076782226562,Brassica napus,conventional,27.0,0.0,270.0,2011,sweep net
L5 Sr. Rupp,Betina_Blochtein_Brassica_napus_Brazil_2011,-28.0795192718506,-54.3138008117676,Brassica napus,conventional,3.0,0.0,270.0,2011,sweep net
L 6 Sr. Donadel,Betina_Blochtein_Brassica_napus_Brazil_2011,-28.1334209442139,-54.3103218078613,Brassica napus,conventional,6.0,0.0,270.0,2011,sweep net
CA1,Breno_M_Freitas_Anacardium_occidentale_Brazil_2011,-4.10378340386198,-38.3881488658494,Anacardium occidentale,conventional,9.0,0.0,,2011,sweep net
CA2,Breno_M_Freitas_Anacardium_occidentale_Brazil_2011,-4.11036081944337,-38.3891006387568,Anacardium occidentale,conventional,1.0,0.0,,2011,sweep net
CA3,Breno_M_Freitas_Anacardium_occidentale_Brazil_2011,-4.11385062537106,-38.3899277376575,Anacardium occidentale,conventional,7.0,0.0,,2011,sweep net
CA4,Breno_M_Freitas_Anacardium_occidentale_Brazil_2011,-4.09072626592055,-38.412743600952,Anacardium occidentale,conventional,5.0,0.0,,2011,sweep net
CA5,Breno_M_Freitas_Anacardium_occidentale_Brazil_2011,-4.09686143546379,-38.4126301194546,Anacardium occidentale,conventional,1.0,0.0,,2011,sweep net
CA6,Breno_M_Freitas_Anacardium_occidentale_Brazil_2011,-4.1009420104133,-38.3917772118165,Anacardium occidentale,conventional,10.0,0.0,,2011,sweep net
CA7,Breno_M_Freitas_Anacardium_occidentale_Brazil_2011,-4.11186334231027,-38.3925500480251,Anacardium occidentale,conventional,7.0,0.0,,2011,sweep net
CA8,Breno_M_Freitas_Anacardium_occidentale_Brazil_2011,-4.09560572504662,-38.4149959324957,Anacardium occidentale,conventional,7.0,0.0,,2011,sweep net
CA9,Breno_M_Freitas_Anacardium_occidentale_Brazil_2011,-4.10059241594882,-38.4304520999432,Anacardium occidentale,conventional,19.0,0.0,,2011,sweep net
CA10,Breno_M_Freitas_Anacardium_occidentale_Brazil_2011,-4.10355813145356,-38.4321473421995,Anacardium occidentale,conventional,3.0,0.0,,2011,sweep net
CA1,Breno_M_Freitas_Anacardium_occidentale_Brazil_2012,-4.103783403862,-38.388148865849,Anacardium occidentale,conventional,11.0,0.0,,2012,sweep net
CA2,Breno_M_Freitas_Anacardium_occidentale_Brazil_2012,-4.110360819443,-38.389100638757,Anacardium occidentale,conventional,40.0,0.0,,2012,sweep net
CA3,Breno_M_Freitas_Anacardium_occidentale_Brazil_2012,-4.113850625371,-38.389927737658,Anacardium occidentale,conventional,15.0,0.0,,2012,sweep net
CA4,Breno_M_Freitas_Anacardium_occidentale_Brazil_2012,-4.090726265921,-38.412743600952,Anacardium occidentale,conventional,8.0,0.0,,2012,sweep net
CA5,Breno_M_Freitas_Anacardium_occidentale_Brazil_2012,-4.096861435464,-38.412630119455,Anacardium occidentale,conventional,18.0,0.0,,2012,sweep net
CA6,Breno_M_Freitas_Anacardium_occidentale_Brazil_2012,-4.100942010413,-38.391777211817,Anacardium occidentale,conventional,18.0,0.0,,2012,sweep net
CA7,Breno_M_Freitas_Anacardium_occidentale_Brazil_2012,-4.11186334231,-38.392550048025,Anacardium occidentale,conventional,13.0,0.0,,2012,sweep net
CA8,Breno_M_Freitas_Anacardium_occidentale_Brazil_2012,-4.095605725047,-38.414995932496,Anacardium occidentale,conventional,9.0,0.0,,2012,sweep net
CA9,Breno_M_Freitas_Anacardium_occidentale_Brazil_2012,-4.100592415949,-38.430452099943,Anacardium occidentale,conventional,21.0,0.0,,2012,sweep net
CA10,Breno_M_Freitas_Anacardium_occidentale_Brazil_2012,-4.103558131454,-38.4321473422,Anacardium occidentale,conventional,30.0,0.0,,2012,sweep net
AN1,Breno_M_Freitas_Bixa_orellana_Brazil_2007,-3.91085395580737,-38.8494852642288,Bixa orellana,conventional,112.0,0.0,,2007,other
AN2,Breno_M_Freitas_Bixa_orellana_Brazil_2007,-3.6407580091499,-38.8483638530602,Bixa orellana,conventional,131.0,0.0,,2007,other
AN3,Breno_M_Freitas_Bixa_orellana_Brazil_2007,-3.64181449161759,-38.8472002589409,Bixa orellana,conventional,86.0,0.0,,2007,other
AN4,Breno_M_Freitas_Bixa_orellana_Brazil_2007,-3.6426502512006,-38.846173572376,Bixa orellana,conventional,86.0,0.0,,2007,other
AN5,Breno_M_Freitas_Bixa_orellana_Brazil_2007,-3.64281723642992,-38.8439565654078,Bixa orellana,conventional,187.0,0.0,,2007,other
AN6,Breno_M_Freitas_Bixa_orellana_Brazil_2007,-3.64221127606592,-38.8450120300951,Bixa orellana,conventional,163.0,0.0,,2007,other
AC1,Breno_M_Freitas_Malpighia_emarginata_Brazil_2011,-3.86851204744879,-41.0950445856371,Malpighia emarginata,organic,119.0,0.0,,2011,sweep net
AC2,Breno_M_Freitas_Malpighia_emarginata_Brazil_2011,-3.86857708983544,-41.0910500398361,Malpighia emarginata,organic,121.0,0.0,,2011,sweep net
AC3,Breno_M_Freitas_Malpighia_emarginata_Brazil_2011,-3.87555232634127,-41.0942535929857,Malpighia emarginata,organic,115.0,0.0,,2011,sweep net
AC4,Breno_M_Freitas_Malpighia_emarginata_Brazil_2011,-3.87497232087295,-41.0897092535491,Malpighia emarginata,organic,139.0,0.0,,2011,sweep net
AC5,Breno_M_Freitas_Malpighia_emarginata_Brazil_2011,-3.88347812767888,-41.1027280059606,Malpighia emarginata,organic,150.0,0.0,,2011,sweep net
AC6,Breno_M_Freitas_Malpighia_emarginata_Brazil_2011,-3.88320954005859,-41.0973211876112,Malpighia emarginata,organic,147.0,0.0,,2011,sweep net
AC7,Breno_M_Freitas_Malpighia_emarginata_Brazil_2011,-3.89134422754456,-41.1017708568167,Malpighia emarginata,organic,155.0,0.0,,2011,sweep net
AC8,Breno_M_Freitas_Malpighia_emarginata_Brazil_2011,-3.89318221580196,-41.0959875366017,Malpighia emarginata,organic,140.0,0.0,,2011,sweep net
mango2,Bryony_Willcox_Mangifera_indica_Australia_2016,-16.98266111,145.4638417,Mangifera indica,conventional,7.0,0.0,180.0,2016,focal observations
mango3,Bryony_Willcox_Mangifera_indica_Australia_2016,-16.9115,145.4241472,Mangifera indica,conventional,4.0,0.0,220.0,2016,focal observations
mango4,Bryony_Willcox_Mangifera_indica_Australia_2016,-16.90098333,145.4300806,Mangifera indica,conventional,64.0,0.0,200.0,2016,focal observations
mango5,Bryony_Willcox_Mangifera_indica_Australia_2016,-17.01975278,145.3408472,Mangifera indica,conventional,51.0,0.0,160.0,2016,focal observations
mango6,Bryony_Willcox_Mangifera_indica_Australia_2016,-16.99886667,145.3672361,Mangifera indica,conventional,2.0,0.0,360.0,2016,focal observations
mango7,Bryony_Willcox_Mangifera_indica_Australia_2016,-17.19234444,145.4690472,Mangifera indica,conventional,1.0,0.0,180.0,2016,focal observations
mango8,Bryony_Willcox_Mangifera_indica_Australia_2016,-17.01152778,145.453925,Mangifera indica,conventional,138.0,0.0,240.0,2016,focal observations
mango9,Bryony_Willcox_Mangifera_indica_Australia_2016,-17.033075,145.2985306,Mangifera indica,conventional,289.0,0.0,220.0,2016,focal observations
mango10,Bryony_Willcox_Mangifera_indica_Australia_2016,-16.99231389,145.3496889,Mangifera indica,conventional,9.0,0.0,240.0,2016,focal observations
avo_1,Bryony_Willcox_Persea_americana_Australia_2015,-25.1581,152.351,Persea americana,conventional,2.0,0.0,180.0,2015,transects
avo_3,Bryony_Willcox_Persea_americana_Australia_2015,-25.1294,152.38,Persea americana,conventional,2.0,0.0,120.0,2015,transects
avo_5,Bryony_Willcox_Persea_americana_Australia_2015,-25.1231,152.123,Persea americana,conventional,15.0,0.0,120.0,2015,transects
avo_6,Bryony_Willcox_Persea_americana_Australia_2015,-25.114,152.152,Persea americana,conventional,60.0,0.0,120.0,2015,transects
avo_9,Bryony_Willcox_Persea_americana_Australia_2015,-34.1422,140.702,Persea americana,conventional,1.0,0.0,120.0,2015,transects
avo_1,Bryony_Willcox_Persea_americana_Australia_2016,-25.1581,152.351,Persea americana,conventional,11.0,0.0,140.0,2016,transects
avo_2,Bryony_Willcox_Persea_americana_Australia_2016,-25.1411,152.362,Persea americana,conventional,90.0,0.0,160.0,2016,transects
avo_3,Bryony_Willcox_Persea_americana_Australia_2016,-25.1294,152.38,Persea americana,conventional,2.0,0.0,160.0,2016,transects
avo_5,Bryony_Willcox_Persea_americana_Australia_2016,-25.1231,152.123,Persea americana,conventional,3.0,0.0,80.0,2016,transects
avo_6,Bryony_Willcox_Persea_americana_Australia_2016,-25.114,152.152,Persea americana,conventional,310.0,0.0,160.0,2016,transects
avo_1,Bryony_Willcox_Persea_americana_Australia_2017,-25.1581,152.351,Persea americana,conventional,7.0,0.0,180.0,2017,transects
avo_2,Bryony_Willcox_Persea_americana_Australia_2017,-25.1411,152.362,Persea americana,conventional,51.0,0.0,180.0,2017,transects
avo_3,Bryony_Willcox_Persea_americana_Australia_2017,-25.1294,152.38,Persea americana,conventional,4.0,0.0,200.0,2017,transects
avo_5,Bryony_Willcox_Persea_americana_Australia_2017,-25.1231,152.123,Persea americana,conventional,106.0,0.0,160.0,2017,transects
avo_6,Bryony_Willcox_Persea_americana_Australia_2017,-25.114,152.152,Persea americana,conventional,79.0,0.0,120.0,2017,transects
MIR1,Carlos_H_Vergara_Coffea_arabica_Mexico_2004,19.2110667,-96.8997333,Coffea arabica,organic,15.0,0.0,100.0,2004,focal observations
MIR2,Carlos_H_Vergara_Coffea_arabica_Mexico_2004,19.2135333,-96.8995167,Coffea arabica,organic,10.0,0.0,100.0,2004,focal observations
MIR3,Carlos_H_Vergara_Coffea_arabica_Mexico_2004,19.2098833,-96.8965,Coffea arabica,organic,12.0,0.0,100.0,2004,focal observations
MIR4,Carlos_H_Vergara_Coffea_arabica_Mexico_2004,19.2101167,-96.8876667,Coffea arabica,organic,8.0,0.0,100.0,2004,focal observations
ORD1,Carlos_H_Vergara_Coffea_arabica_Mexico_2004,19.2055833,-96.8977333,Coffea arabica,conventional,1.0,0.0,100.0,2004,focal observations
ORD2,Carlos_H_Vergara_Coffea_arabica_Mexico_2004,19.20565,-96.89855,Coffea arabica,conventional,3.0,0.0,100.0,2004,focal observations
ORD3,Carlos_H_Vergara_Coffea_arabica_Mexico_2004,19.2070167,-96.8843,Coffea arabica,conventional,2.0,0.0,100.0,2004,focal observations
ORD4,Carlos_H_Vergara_Coffea_arabica_Mexico_2004,19.2063,-96.8850667,Coffea arabica,conventional,13.0,0.0,100.0,2004,focal observations
VSE1,Carlos_H_Vergara_Coffea_arabica_Mexico_2004,19.4726667,-96.9256333,Coffea arabica,conventional,3.0,0.0,100.0,2004,focal observations
VSE2,Carlos_H_Vergara_Coffea_arabica_Mexico_2004,19.4724667,-96.9286167,Coffea arabica,conventional,1.0,0.0,100.0,2004,focal observations
VSE3,Carlos_H_Vergara_Coffea_arabica_Mexico_2004,19.4715833,-96.92925,Coffea arabica,conventional,1.0,0.0,100.0,2004,focal observations
VSE4,Carlos_H_Vergara_Coffea_arabica_Mexico_2004,19.4649667,-96.9343,Coffea arabica,conventional,1.0,0.0,100.0,2004,focal observations
Nich_VTblu_Site_01,Charlie_Nicholson_Vaccinium_corymbosum_USA_2014,44.299605,-73.187766,Vaccinium corymbosum,organic,22.0,25.0,160.0,2014,sweep net
Nich_VTblu_Site_01,Charlie_Nicholson_Vaccinium_corymbosum_USA_2015,44.299605,-73.187766,Vaccinium corymbosum,organic,15.0,10.0,100.0,2015,sweep net
Nich_VTblu_Site_02,Charlie_Nicholson_Vaccinium_corymbosum_USA_2014,44.4010957014,-73.0691734064,Vaccinium corymbosum,organic,15.0,28.0,140.0,2014,sweep net
Nich_VTblu_Site_02,Charlie_Nicholson_Vaccinium_corymbosum_USA_2015,44.4010957014,-73.0691734064,Vaccinium corymbosum,organic,8.0,29.0,80.0,2015,sweep net
Nich_VTblu_Site_02,Charlie_Nicholson_Vaccinium_corymbosum_USA_2013,44.4010957014,-73.0691734064,Vaccinium corymbosum,organic,6.0,11.0,60.0,2013,sweep net
Nich_VTblu_Site_03,Charlie_Nicholson_Vaccinium_corymbosum_USA_2014,44.5161895867,-72.9278982195,Vaccinium corymbosum,organic,32.0,16.0,140.0,2014,sweep net
Nich_VTblu_Site_03,Charlie_Nicholson_Vaccinium_corymbosum_USA_2015,44.5161895867,-72.9278982195,Vaccinium corymbosum,organic,19.0,7.0,80.0,2015,sweep net
Nich_VTblu_Site_03,Charlie_Nicholson_Vaccinium_corymbosum_USA_2013,44.5161895867,-72.9278982195,Vaccinium corymbosum,organic,11.0,25.0,80.0,2013,sweep net
Nich_VTblu_Site_04,Charlie_Nicholson_Vaccinium_corymbosum_USA_2014,44.28951,-73.243322,Vaccinium corymbosum,conventional,11.0,18.0,100.0,2014,sweep net
Nich_VTblu_Site_04,Charlie_Nicholson_Vaccinium_corymbosum_USA_2015,44.28951,-73.243322,Vaccinium corymbosum,conventional,1.0,7.0,40.0,2015,sweep net
Nich_VTblu_Site_05,Charlie_Nicholson_Vaccinium_corymbosum_USA_2015,44.214885,-72.793697,Vaccinium corymbosum,organic,8.0,19.0,80.0,2015,sweep net
Nich_VTblu_Site_06,Charlie_Nicholson_Vaccinium_corymbosum_USA_2014,44.3917677495,-73.0959985426,Vaccinium corymbosum,organic,13.0,35.0,100.0,2014,sweep net
Nich_VTblu_Site_06,Charlie_Nicholson_Vaccinium_corymbosum_USA_2015,44.3917677495,-73.0959985426,Vaccinium corymbosum,organic,14.0,28.0,80.0,2015,sweep net
Nich_VTblu_Site_06,Charlie_Nicholson_Vaccinium_corymbosum_USA_2013,44.3917677495,-73.0959985426,Vaccinium corymbosum,organic,17.0,45.0,60.0,2013,sweep net
Nich_VTblu_Site_07,Charlie_Nicholson_Vaccinium_corymbosum_USA_2014,44.1900231201,-72.8462866788,Vaccinium corymbosum,organic,61.0,51.0,160.0,2014,sweep net
Nich_VTblu_Site_07,Charlie_Nicholson_Vaccinium_corymbosum_USA_2015,44.1900231201,-72.8462866788,Vaccinium corymbosum,organic,32.0,29.0,100.0,2015,sweep net
Nich_VTblu_Site_07,Charlie_Nicholson_Vaccinium_corymbosum_USA_2013,44.1900231201,-72.8462866788,Vaccinium corymbosum,organic,20.0,36.0,80.0,2013,sweep net
Nich_VTblu_Site_08,Charlie_Nicholson_Vaccinium_corymbosum_USA_2014,44.2645144479,-73.1342006234,Vaccinium corymbosum,conventional,36.0,27.0,160.0,2014,sweep net
Nich_VTblu_Site_08,Charlie_Nicholson_Vaccinium_corymbosum_USA_2015,44.2645144479,-73.1342006234,Vaccinium corymbosum,conventional,27.0,24.0,80.0,2015,sweep net
Nich_VTblu_Site_08,Charlie_Nicholson_Vaccinium_corymbosum_USA_2013,44.2645144479,-73.1342006234,Vaccinium corymbosum,conventional,27.0,42.0,60.0,2013,sweep net
Nich_VTblu_Site_09,Charlie_Nicholson_Vaccinium_corymbosum_USA_2014,44.1007070105,-73.0757323969,Vaccinium corymbosum,organic,36.0,20.0,120.0,2014,sweep net
Nich_VTblu_Site_09,Charlie_Nicholson_Vaccinium_corymbosum_USA_2015,44.1007070105,-73.0757323969,Vaccinium corymbosum,organic,22.0,21.0,120.0,2015,sweep net
Nich_VTblu_Site_09,Charlie_Nicholson_Vaccinium_corymbosum_USA_2013,44.1007070105,-73.0757323969,Vaccinium corymbosum,organic,12.0,16.0,60.0,2013,sweep net
