bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,biome_num,chili,def,dist_seminat,ec,ei,elevation,es,et,gHM,gpp,le,pdsi,pet,ple,ro,site_id,soil,soil_carbon_b10,soil_clay_b10,soil_den_b10,soil_pH_b10,soil_sand_b10,soil_water_b10,srad,study_id,swe,topo_div,vap,vpd,vs,activity,bare,cropland,grass,moss,shrub,tree,urban,crop,management,sampling_year,log_visit_rate,author_id
111.0,114.0,31.0,8653.0,295.0,-62.0,357.0,214.0,-3.0,221.0,-3.0,1164.0,126.0,74.0,14.0,340.0,252.0,332.0,252.0,4.0,199.0,37.91666667,0.0,0.809616906,0.128681113,60.0,0.372463902,194.6571429,0.500706613,3.598321409,598.3428571,389.0,320.1428571,984.5714286,43.41666667,ter,749.9166667,3.0,22.0,144.0,58.0,24.0,24.0,1568.416667,Rachael_Winfree_Cucumis_melo_USA_2004,15.66666667,0.068111308,1074.083333,58.16666667,295.25,0.6166373464999999,0.4064644555,10.5064048825,23.309115005000002,0.0,2.088959122,54.986739805,8.628425542999999,Cucumis melo,,2004,-2.0149030205422647,RachaelWinfree
109.0,122.0,32.0,8817.0,301.0,-69.0,370.0,212.0,-8.0,221.0,-8.0,1138.0,112.0,73.0,11.0,320.0,247.0,315.0,247.0,4.0,196.0,23.58333333,0.0,0.737918738,0.339452155,43.0,0.45192945,145.972973,0.449719787,4.327797883,449.3513514,467.9166667,310.3513514,954.5675676,46.33333333,tra,815.25,4.0,18.0,137.0,61.0,42.0,24.0,1542.166667,Rachael_Winfree_Cucumis_melo_USA_2004,24.58333333,0.282619953,1042.583333,53.58333333,286.0833333,0.5895291795,0.73199441,5.4839978335,22.315462075,0.0,2.8430302915,56.82479427,3.5401826935000003,Cucumis melo,,2004,-0.6286086594223742,RachaelWinfree
111.0,117.0,32.0,8698.0,297.0,-65.0,362.0,214.0,-4.0,221.0,-4.0,1166.0,125.0,73.0,14.0,338.0,251.0,330.0,251.0,4.0,191.0,34.41666667,0.0,0.779548543,0.119264589,49.0,0.389047999,162.1388889,0.489492774,3.5182754,499.4166667,389.9166667,277.4444444,854.3333333,44.83333333,aun,736.4166667,4.0,19.0,143.0,57.0,27.0,26.0,1564.583333,Rachael_Winfree_Solanum_lycopersicum_USA_2004,17.91666667,0.112877674,1067.916667,57.08333333,291.1666667,0.6096377915,0.1157870065,15.906131354,24.494968525,0.0,3.0838456705,50.18100998,6.2175813715,Solanum lycopersicum,,2004,-2.0149030205422647,RachaelWinfree
110.0,111.0,31.0,8740.0,291.0,-65.0,356.0,199.0,-6.0,221.0,-6.0,1131.0,112.0,74.0,12.0,318.0,247.0,312.0,247.0,4.0,190.0,29.41666667,0.0,0.737616473,0.104554552,110.0,0.489524891,163.275,0.573423743,3.197810138,502.125,498.4166667,311.65,957.9,43.5,bar,695.3333333,3.0,18.0,143.0,52.0,35.0,26.0,1556.666667,Rachael_Winfree_Solanum_lycopersicum_USA_2004,15.66666667,0.142873436,1064.833333,57.5,294.6666667,0.6160660874999999,0.202531135,4.993441644,19.311969365,0.0,2.093407301,52.74394965,20.650563005000002,Solanum lycopersicum,,2004,-1.6094379124341003,RachaelWinfree
113.0,114.0,31.0,8657.0,297.0,-61.0,358.0,216.0,-1.0,223.0,-1.0,1157.0,125.0,74.0,14.0,339.0,251.0,330.0,251.0,4.0,200.0,37.91666667,0.0,0.949728255,0.55463755,48.0,0.215608623,232.6486486,0.551324308,6.11664149,714.7297297,389.0,324.3243243,997.4594595,43.41666667,che,749.9166667,2.0,18.0,144.0,54.0,29.0,22.0,1568.416667,Rachael_Winfree_Solanum_lycopersicum_USA_2004,15.66666667,0.093272105,1074.083333,58.16666667,295.25,0.6166461225,0.32765173000000003,9.4436497915,21.58559133,0.0,2.277335687,52.58046005,13.733116943499999,Solanum lycopersicum,,2004,-0.8362480242006186,RachaelWinfree
111.0,113.0,31.0,8739.0,295.0,-62.0,357.0,200.0,-4.0,222.0,-4.0,1147.0,115.0,73.0,12.0,323.0,247.0,319.0,247.0,4.0,200.0,30.08333333,0.0,0.604253883,0.077335344,99.0,0.681765387,146.3513514,0.684010983,2.649775567,450.0,462.8333333,317.5945946,976.0,43.41666667,del,753.5833333,2.0,20.0,144.0,58.0,24.0,24.0,1553.583333,Rachael_Winfree_Solanum_lycopersicum_USA_2004,17.5,0.137724891,1055.25,57.41666667,296.75,0.600510898,0.15106565,5.8240675765,19.052071390000002,0.0,2.230657457,44.410535214999996,27.996228455,Solanum lycopersicum,,2004,-2.3025850929940455,RachaelWinfree
110.0,117.0,32.0,8671.0,297.0,-65.0,362.0,213.0,-4.0,220.0,-4.0,1168.0,125.0,73.0,13.0,338.0,252.0,331.0,252.0,4.0,192.0,31.0,0.0,0.633263055,0.086121038,90.0,0.585761459,168.4210526,0.468749255,2.859237959,516.8947368,391.1666667,323.6052632,993.7368421,46.66666667,hop,750.8333333,5.0,21.0,135.0,54.0,30.0,26.0,1562.75,Rachael_Winfree_Solanum_lycopersicum_USA_2004,19.66666667,0.266813099,1057.583333,55.75,290.4166667,0.605316111,0.042882073,11.657485190500001,21.37600795,0.0,2.5768745529999997,58.995250705000004,5.3510733835,Solanum lycopersicum,,2004,-0.35667494393873245,RachaelWinfree
111.0,115.0,32.0,8679.0,296.0,-63.0,359.0,214.0,-3.0,222.0,-3.0,1164.0,125.0,74.0,13.0,338.0,252.0,331.0,252.0,4.0,199.0,35.25,0.0,0.64591456,0.091662433,59.0,0.566510674,145.4594595,0.533913076,3.01549799,446.7297297,394.25,298.7297297,917.6486486,44.33333333,ker,750.3333333,2.0,19.0,146.0,54.0,25.0,22.0,1565.416667,Rachael_Winfree_Solanum_lycopersicum_USA_2004,17.25,0.065387741,1068.333333,57.75,292.0833333,0.6132798145,0.360782233,13.412236938,21.06825008,0.0,2.4626889204999998,41.216139505,21.209735764999998,Solanum lycopersicum,,2004,-1.6094379124341003,RachaelWinfree
100.0,120.0,32.0,8694.0,288.0,-77.0,365.0,202.0,-15.0,210.0,-15.0,1222.0,121.0,79.0,11.0,340.0,268.0,336.0,268.0,4.0,195.0,22.08333333,223.6067977,1.280781232,0.194060146,184.0,0.337949083,187.2647059,0.41758737,7.741358728,576.2352941,410.3333333,313.9705882,966.0294118,51.25,mis,827.3333333,4.0,22.0,137.0,55.0,29.0,27.0,1548.833333,Rachael_Winfree_Solanum_lycopersicum_USA_2004,28.66666667,0.08901868,1028.75,52.58333333,283.0833333,0.5979158645,0.2722198975,15.022039315,25.627690925,0.0,2.931738318,51.414473595000004,4.7317088055,Solanum lycopersicum,,2004,-1.2039728043259361,RachaelWinfree
107.0,117.0,32.0,8770.0,296.0,-68.0,364.0,210.0,-8.0,219.0,-8.0,1155.0,114.0,74.0,12.0,324.0,250.0,319.0,250.0,4.0,188.0,25.25,100.0,0.814329925,0.135359639,116.0,0.358609466,185.2727273,0.503023028,3.582197593,569.8484848,467.5,325.3333333,1000.060606,45.83333333,pen,778.9166667,2.0,22.0,146.0,59.0,20.0,26.0,1545.666667,Rachael_Winfree_Solanum_lycopersicum_USA_2004,22.08333333,0.149930701,1043.666667,54.58333333,292.5833333,0.5922841775000001,0.263302502,16.913094035,28.08417381,0.0,3.917374628,45.71120886,4.7234799585,Solanum lycopersicum,,2004,-1.791759469228055,RachaelWinfree
108.0,122.0,33.0,8800.0,299.0,-69.0,368.0,211.0,-8.0,220.0,-8.0,1143.0,113.0,73.0,11.0,321.0,249.0,316.0,249.0,4.0,192.0,22.16666667,0.0,0.727761564,0.128197796,43.0,0.588765525,164.2894737,0.484715819,3.775349477,505.2894737,454.3333333,314.6052632,967.2894737,48.25,phi,829.25,3.0,15.0,141.0,64.0,42.0,23.0,1541.083333,Rachael_Winfree_Solanum_lycopersicum_USA_2004,26.5,0.335939169,1034.0,52.58333333,286.1666667,0.589670719,1.330146209,10.677841936,24.260450335,0.0,3.0571296865,51.251775135,4.340975728,Solanum lycopersicum,,2004,-2.3025850929940455,RachaelWinfree
108.0,113.0,31.0,8776.0,291.0,-68.0,359.0,197.0,-9.0,218.0,-9.0,1134.0,111.0,73.0,12.0,319.0,245.0,314.0,245.0,4.0,186.0,26.75,0.0,0.797865024,0.124658285,114.0,0.380733279,178.2903226,0.642372251,3.61124998,548.0,489.75,333.6129032,1025.064516,44.75,ray,720.9166667,2.0,21.0,147.0,58.0,21.0,24.0,1546.166667,Rachael_Winfree_Solanum_lycopersicum_USA_2004,18.91666667,0.143024519,1051.0,55.5,295.6666667,0.6037559535,0.5609101415,15.78356965,29.01968138,0.0,3.6089638945,32.73043557,18.271818330000002,Solanum lycopersicum,,2004,-2.0149030205422647,RachaelWinfree
100.0,121.0,33.0,8692.0,289.0,-77.0,366.0,202.0,-15.0,210.0,-15.0,1217.0,120.0,78.0,11.0,338.0,266.0,334.0,266.0,4.0,193.0,21.66666667,200.0,1.145375858,0.177850451,179.0,0.349230257,177.9677419,0.535675168,6.608257462,545.9354839,417.6666667,321.483871,986.516129,50.58333333,sny,861.9166667,4.0,23.0,138.0,56.0,27.0,28.0,1543.5,Rachael_Winfree_Solanum_lycopersicum_USA_2004,29.33333333,0.090078071,1029.666667,52.66666667,280.5,0.587949227,0.7458382275,34.54118071,26.068335115,0.0,3.580797219,29.80365826,5.2601904699999995,Solanum lycopersicum,,2004,-0.5108256237659907,RachaelWinfree
109.0,114.0,31.0,8776.0,293.0,-67.0,360.0,199.0,-8.0,220.0,-8.0,1120.0,110.0,72.0,12.0,316.0,242.0,310.0,242.0,4.0,202.0,27.08333333,0.0,0.86092962,0.115182041,93.0,0.663082356,150.0909091,0.625645578,4.144644019,461.6666667,498.4166667,328.4545455,1009.484848,43.58333333,sun,713.4166667,2.0,20.0,144.0,59.0,26.0,24.0,1548.0,Rachael_Winfree_Solanum_lycopersicum_USA_2004,18.16666667,0.127727687,1055.416667,55.66666667,293.4166667,0.6040897985,0.5802993665,22.974348015,27.090462244999998,0.0,3.3781659185,35.654359845,10.322174132,Solanum lycopersicum,,2004,-3.4011973816621555,RachaelWinfree
96.0,119.0,32.0,8749.0,285.0,-81.0,366.0,199.0,-19.0,207.0,-19.0,1212.0,117.0,78.0,11.0,337.0,263.0,333.0,263.0,4.0,189.0,21.16666667,141.4213562,1.535050016,0.2686983,225.0,0.208062112,208.3235294,0.436957657,11.11466861,640.7941176,441.0,298.2941176,918.3823529,49.33333333,trad,872.9166667,5.0,15.0,136.0,51.0,46.0,23.0,1532.75,Rachael_Winfree_Solanum_lycopersicum_USA_2004,30.58333333,0.306872249,1026.25,52.08333333,281.5833333,0.5879882455000001,0.344081077,11.089419100499999,20.503871415,0.0,1.7978695205,63.49625062999999,2.762324181,Solanum lycopersicum,,2004,-1.6094379124341003,RachaelWinfree
111.0,115.0,32.0,8679.0,296.0,-63.0,359.0,214.0,-3.0,222.0,-3.0,1164.0,125.0,74.0,13.0,338.0,252.0,331.0,252.0,4.0,191.0,35.25,0.0,0.614293426,0.081706321,66.0,0.641054233,165.5882353,0.525195301,2.775347107,508.1470588,394.25,330.4411765,1014.5,44.33333333,wat,750.3333333,3.0,20.0,148.0,53.0,28.0,22.0,1565.416667,Rachael_Winfree_Solanum_lycopersicum_USA_2004,17.25,0.090955883,1068.333333,57.75,292.0833333,0.6053773895000001,0.41424548250000004,7.316602678,20.923824109999998,0.0,2.1537031654999996,52.828508119999995,16.262818307,Solanum lycopersicum,,2004,-2.3025850929940455,RachaelWinfree
112.0,112.0,31.0,8765.0,294.0,-64.0,358.0,201.0,-4.0,223.0,-4.0,1124.0,112.0,73.0,12.0,316.0,245.0,311.0,245.0,4.0,188.0,28.58333333,100.0,0.810450927,0.12352354,85.0,0.380924013,177.4117647,0.534619868,3.540226127,545.5588235,487.9166667,315.1764706,969.4117647,44.5,wil,702.0,2.0,19.0,147.0,57.0,27.0,26.0,1556.583333,Rachael_Winfree_Solanum_lycopersicum_USA_2004,16.41666667,0.121863157,1059.166667,57.0,297.0833333,0.6159089600000001,0.10236588199999999,13.760804836,26.712393130000002,0.0,3.6201431335,47.465443945,8.32853482,Solanum lycopersicum,,2004,-0.5679840376059393,RachaelWinfree
111.0,115.0,32.0,8679.0,296.0,-63.0,359.0,214.0,-3.0,222.0,-3.0,1164.0,125.0,74.0,13.0,338.0,252.0,331.0,252.0,4.0,199.0,186.5833333,0.0,0.76100141,0.082843759,61.0,0.615663937,148.3428571,0.533913076,3.069694399,454.9142857,213.0,330.8857143,1014.428571,38.91666667,ker,573.3333333,2.0,19.0,146.0,54.0,25.0,22.0,1603.416667,Rachael_Winfree_Solanum_lycopersicum_USA_2005,29.0,0.065387741,1035.25,70.41666667,287.3333333,0.7103437589999999,0.360782233,13.412236938,21.06825008,0.0,2.4626889204999998,41.216139505,21.209735764999998,Solanum lycopersicum,,2005,-1.6094379124341003,RachaelWinfree
111.0,114.0,32.0,8649.0,295.0,-61.0,356.0,214.0,-3.0,221.0,-3.0,1165.0,125.0,75.0,13.0,339.0,253.0,331.0,253.0,4.0,199.0,185.1666667,0.0,0.938464321,0.117267438,68.0,0.411445541,193.5675676,0.582394838,3.699230949,594.2162162,210.75,326.4324324,1002.405405,38.08333333,lit,579.0833333,3.0,21.0,146.0,56.0,26.0,23.0,1603.75,Rachael_Winfree_Solanum_lycopersicum_USA_2005,25.75,0.089015387,1036.833333,71.0,289.0833333,0.710277147,0.157367448,8.9314947005,20.657800684999998,0.0,1.9384233370000001,47.565648485,20.68426763,Solanum lycopersicum,,2005,-2.0149030205422647,RachaelWinfree
111.0,116.0,32.0,8674.0,296.0,-63.0,359.0,214.0,-3.0,221.0,-3.0,1164.0,125.0,74.0,13.0,338.0,252.0,331.0,252.0,4.0,195.0,186.5833333,0.0,0.668990766,0.212408933,65.0,0.685335184,161.3103448,0.525195301,3.496300148,494.6896552,213.0,352.0344828,1078.896552,38.91666667,wat,573.3333333,2.0,19.0,145.0,53.0,26.0,24.0,1603.416667,Rachael_Winfree_Solanum_lycopersicum_USA_2005,29.0,0.065215692,1035.25,70.41666667,287.3333333,0.7070928489999999,0.409119951,7.149538229500001,21.23867389,0.0,2.07952444,53.497141745,15.5372473515,Solanum lycopersicum,,2005,-1.3217558399823195,RachaelWinfree
110.0,111.0,31.0,8740.0,291.0,-65.0,356.0,199.0,-6.0,221.0,-6.0,1131.0,112.0,74.0,12.0,318.0,247.0,312.0,247.0,4.0,196.0,229.0,0.0,0.825740474,0.085100802,112.0,0.563970642,141.2647059,0.573423743,3.149156688,433.6764706,262.6666667,313.9411765,963.7647059,34.5,bar,512.9166667,4.0,19.0,137.0,53.0,35.0,25.0,1602.0,Rachael_Winfree_Solanum_lycopersicum_USA_2005,26.33333333,0.135638282,1023.5,71.0,290.25,0.712582999,0.321850493,5.288904225,20.843103929999998,0.0,2.4085714515000003,50.952884069999996,20.179332555000002,Solanum lycopersicum,,2005,-1.3217558399823195,RachaelWinfree
108.0,115.0,31.0,8802.0,295.0,-68.0,363.0,199.0,-8.0,220.0,-8.0,1141.0,112.0,73.0,12.0,320.0,247.0,316.0,247.0,4.0,188.0,214.4166667,0.0,1.2660038,0.124309284,107.0,0.473406901,160.6969697,0.638427913,6.115076031,492.9393939,258.5,316.6060606,970.9090909,39.83333333,bra,553.4166667,3.0,23.0,144.0,59.0,21.0,26.0,1591.416667,Rachael_Winfree_Solanum_lycopersicum_USA_2005,38.83333333,0.121091403,1003.25,67.66666667,295.1666667,0.6889051374999999,0.2677790035,15.78256041,26.40114756,0.0,3.5588279314999998,40.58461586,13.360087005,Solanum lycopersicum,,2005,-1.0986122886681098,RachaelWinfree
109.0,122.0,33.0,8773.0,300.0,-68.0,368.0,212.0,-7.0,221.0,-7.0,1153.0,115.0,74.0,11.0,324.0,252.0,319.0,252.0,4.0,196.0,201.8333333,100.0,0.747294934,0.073733669,38.0,0.650314605,166.125,0.527182937,2.820041597,509.34375,240.4166667,356.65625,1093.65625,41.0,bri,615.75,4.0,16.0,144.0,63.0,41.0,25.0,1592.666667,Rachael_Winfree_Solanum_lycopersicum_USA_2005,37.66666667,0.27094835,1017.666667,68.66666667,273.75,0.6991026714999999,0.5341047365,11.574756092000001,19.01397449,0.0,2.4214601185,46.301023435,8.1896065155,Solanum lycopersicum,,2005,-1.2039728043259361,RachaelWinfree
112.0,113.0,31.0,8785.0,294.0,-66.0,360.0,201.0,8.0,222.0,-5.0,1115.0,111.0,73.0,12.0,316.0,244.0,307.0,246.0,4.0,197.0,233.75,200.0,1.048960768,0.174249755,59.0,0.36218965,175.8285714,0.571670175,5.167157959,539.0857143,274.0833333,331.8285714,1017.4,35.0,kim,501.4166667,2.0,20.0,146.0,58.0,25.0,27.0,1599.5,Rachael_Winfree_Solanum_lycopersicum_USA_2005,25.58333333,0.117728308,1026.083333,71.91666667,288.4166667,0.6992938945,0.241639066,24.372425045,23.885286395,0.0,3.627076691,38.109381255,9.7493727165,Solanum lycopersicum,,2005,-2.3025850929940455,RachaelWinfree
114.0,113.0,31.0,8529.0,296.0,-58.0,354.0,215.0,2.0,222.0,2.0,1150.0,123.0,75.0,14.0,338.0,252.0,327.0,252.0,5.0,192.0,190.4166667,0.0,0.0,0.0,31.0,1.788448449,,0.743535697,0.0,,198.6666667,,,36.08333333,lee,582.8333333,0.0,12.0,159.0,56.0,58.0,15.0,1603.583333,Rachael_Winfree_Solanum_lycopersicum_USA_2005,21.41666667,0.043153875,1056.0,70.41666667,307.0,0.7092440165,0.866683785,7.2072777785,17.598041115,0.0,1.8135819734999998,39.072807735,33.425942570000004,Solanum lycopersicum,,2005,-3.4011973816621555,RachaelWinfree
107.0,117.0,32.0,8770.0,296.0,-68.0,364.0,210.0,-8.0,219.0,-8.0,1155.0,114.0,74.0,12.0,324.0,250.0,319.0,250.0,4.0,206.0,207.75,0.0,0.884224688,0.099448939,108.0,0.458107766,155.2121212,0.503023028,3.417160212,476.2727273,251.4166667,313.6060606,962.9090909,40.25,pen,574.9166667,4.0,21.0,144.0,58.0,20.0,26.0,1591.25,Rachael_Winfree_Solanum_lycopersicum_USA_2005,38.5,0.165171817,1006.5,67.83333333,286.9166667,0.6933639115,0.2747902325,16.69032016,28.247150805,0.0,3.9617710739999996,45.62281247,4.856396944,Solanum lycopersicum,,2005,-2.0149030205422647,RachaelWinfree
108.0,122.0,33.0,8795.0,299.0,-69.0,368.0,211.0,-8.0,220.0,-8.0,1142.0,113.0,73.0,11.0,321.0,248.0,316.0,248.0,4.0,196.0,197.0833333,100.0,0.80586305,0.26843984,51.0,0.538764135,118.7931034,0.484715819,4.124942311,364.6551724,247.6666667,305.1724138,935.9310345,44.0,phi,609.9166667,4.0,15.0,143.0,61.0,42.0,24.0,1587.75,Rachael_Winfree_Solanum_lycopersicum_USA_2005,45.75,0.391883284,998.6666667,65.91666667,279.5833333,0.700070769,1.338940634,8.668462526999999,23.346275445,0.0,2.9521679085,50.4549854,8.955110444999999,Solanum lycopersicum,,2005,-1.6094379124341003,RachaelWinfree
108.0,113.0,31.0,8776.0,291.0,-68.0,359.0,197.0,-9.0,218.0,-9.0,1134.0,111.0,73.0,12.0,319.0,245.0,314.0,245.0,4.0,192.0,221.1666667,0.0,0.848155497,0.094124843,112.0,0.503605945,162.2692308,0.642372251,3.371731172,497.5,263.75,341.6153846,1046.923077,37.16666667,ray,529.9166667,2.0,21.0,147.0,58.0,21.0,24.0,1592.75,Rachael_Winfree_Solanum_lycopersicum_USA_2005,33.58333333,0.143024519,1011.5,68.83333333,290.75,0.7036166855,0.5609101415,15.78356965,29.01968138,0.0,3.6089638945,32.73043557,18.271818330000002,Solanum lycopersicum,,2005,-0.5679840376059393,RachaelWinfree
